Start Time,Stop Time,Motion
2025-03-20 11:39:00.949189,2025-03-20 11:39:02.724597,lunges
2025-03-20 11:39:08.721682,2025-03-20 11:39:10.122835,walking
2025-03-20 11:39:13.624003,2025-03-20 11:39:18.959344,walking
2025-03-20 11:39:25.379062,2025-03-20 11:39:30.072033,squat
2025-03-20 11:39:33.838128,2025-03-20 11:39:34.977759,squat
2025-03-20 11:39:39.711354,2025-03-20 11:39:44.372417,squat
2025-03-20 11:39:50.992434,2025-03-20 11:39:54.125452,walking
2025-03-20 11:39:56.732602,2025-03-20 11:40:02.172833,walking
2025-03-20 11:40:07.792681,2025-03-20 11:40:09.860304,lunges
2025-03-20 11:40:13.256712,2025-03-20 11:40:14.554145,lunges
2025-03-20 11:40:20.495951,2025-03-20 11:40:22.202591,lunges
2025-03-20 11:40:31.610118,2025-03-20 11:40:35.750537,walking
2025-03-20 11:40:39.876558,2025-03-20 11:40:47.416248,walking
2025-03-20 11:40:56.088109,2025-03-20 11:40:58.915304,lunges
2025-03-20 11:41:02.035145,2025-03-20 11:41:03.208369,lunges
2025-03-20 11:41:07.158773,2025-03-20 11:41:08.190667,squat
2025-03-20 11:41:12.128488,2025-03-20 11:41:13.085289,jumping_jack
2025-03-20 11:41:18.360295,2025-03-20 11:41:19.397143,jumping_jack
2025-03-20 11:41:26.455043,2025-03-20 11:41:26.888394,jumping_jack
2025-03-20 11:41:27.256639,2025-03-20 11:41:27.693732,jumping_jack
2025-03-20 11:41:28.121732,2025-03-20 11:41:28.555227,jumping_jack
2025-03-20 11:41:29.024497,2025-03-20 11:41:29.434295,jumping_jack
2025-03-20 11:41:29.898563,2025-03-20 11:41:30.365255,jumping_jack
2025-03-20 11:41:30.769210,2025-03-20 11:41:31.180177,jumping_jack
2025-03-20 11:41:31.661865,2025-03-20 11:41:32.123352,jumping_jack
2025-03-20 11:41:53.105688,2025-03-20 11:41:53.508053,squat
2025-03-20 11:41:53.942548,2025-03-20 11:41:54.516339,squat
2025-03-20 11:41:55.180749,2025-03-20 11:41:55.882098,squat
2025-03-20 11:41:56.536562,2025-03-20 11:41:57.165725,squat
2025-03-20 11:41:57.865685,2025-03-20 11:41:59.389971,squat
2025-03-20 11:42:10.103299,2025-03-20 11:42:10.553949,jumping_jack
2025-03-20 11:42:11.000890,2025-03-20 11:42:11.433994,jumping_jack
2025-03-20 11:42:11.821687,2025-03-20 11:42:12.281400,jumping_jack
2025-03-20 11:42:12.750811,2025-03-20 11:42:13.130898,jumping_jack
2025-03-20 11:42:13.583886,2025-03-20 11:42:14.027343,jumping_jack
2025-03-20 11:42:14.443499,2025-03-20 11:42:14.958050,jumping_jack
2025-03-20 11:42:20.005940,2025-03-20 11:42:25.259668,walking
2025-03-20 11:42:32.214647,2025-03-20 11:42:32.805875,squat
2025-03-20 11:42:33.480034,2025-03-20 11:42:34.055420,squat
2025-03-20 11:42:34.548452,2025-03-20 11:42:35.139174,squat
2025-03-20 11:42:35.796606,2025-03-20 11:42:36.421020,squat
2025-03-20 11:42:37.109600,2025-03-20 11:42:37.682284,squat
2025-03-20 11:42:49.535804,2025-03-20 11:42:50.454680,lunges
2025-03-20 11:42:51.477245,2025-03-20 11:42:52.407307,lunges
2025-03-20 11:42:53.672214,2025-03-20 11:42:54.745962,lunges
2025-03-20 11:42:55.899574,2025-03-20 11:42:56.861308,lunges
2025-03-20 11:42:58.239237,2025-03-20 11:42:59.152989,lunges
2025-03-20 11:43:08.212232,2025-03-20 11:43:13.606623,walking
2025-03-20 11:43:17.879578,2025-03-20 11:43:22.663132,walking
2025-03-20 11:43:29.385818,2025-03-20 11:43:30.235306,squat
2025-03-20 11:43:30.702023,2025-03-20 11:43:31.329605,squat
2025-03-20 11:43:32.049056,2025-03-20 11:43:32.769844,squat
2025-03-20 11:43:33.510825,2025-03-20 11:43:34.357806,squat
2025-03-20 11:43:34.996350,2025-03-20 11:43:35.831403,squat
2025-03-20 11:43:36.614729,2025-03-20 11:43:37.325343,squat
2025-03-20 11:43:49.568141,2025-03-20 11:43:50.046745,jumping_jack
2025-03-20 11:43:50.453236,2025-03-20 11:43:50.813422,jumping_jack
2025-03-20 11:43:51.185176,2025-03-20 11:43:51.589103,jumping_jack
2025-03-20 11:43:51.986122,2025-03-20 11:43:52.408130,jumping_jack
2025-03-20 11:43:52.834102,2025-03-20 11:43:53.296070,jumping_jack
2025-03-20 11:43:53.733659,2025-03-20 11:43:54.100966,jumping_jack
2025-03-20 11:43:54.518490,2025-03-20 11:43:54.950340,jumping_jack
2025-03-20 11:43:55.350381,2025-03-20 11:43:55.817957,jumping_jack
2025-03-20 11:44:05.478095,2025-03-20 11:44:19.663497,walking
