Start Time,Stop Time,Motion
2025-03-20 11:53:39.777744,2025-03-20 11:53:41.044808,squat
2025-03-20 11:53:49.939793,2025-03-20 11:53:51.639539,lunges
2025-03-20 11:53:53.707009,2025-03-20 11:53:55.248189,lunges
2025-03-20 11:53:57.090724,2025-03-20 11:53:58.762823,lunges
2025-03-20 11:54:00.440397,2025-03-20 11:54:01.780162,lunges
2025-03-20 11:54:05.947344,2025-03-20 11:54:13.019072,walking
2025-03-20 11:54:55.771206,2025-03-20 11:55:04.037147,walking
2025-03-20 11:55:07.174628,2025-03-20 11:55:08.791062,squat
2025-03-20 11:55:09.876705,2025-03-20 11:55:11.322803,squat
2025-03-20 11:55:12.443486,2025-03-20 11:55:13.903639,squat
2025-03-20 11:55:15.217151,2025-03-20 11:55:16.772192,squat
2025-03-20 11:55:17.971257,2025-03-20 11:55:19.400202,squat
2025-03-20 11:55:20.574027,2025-03-20 11:55:21.998839,squat
2025-03-20 11:55:25.288582,2025-03-20 11:55:26.477678,lunges
2025-03-20 11:55:27.983059,2025-03-20 11:55:29.845530,lunges
2025-03-20 11:55:31.177541,2025-03-20 11:55:33.409672,lunges
2025-03-20 11:55:34.729200,2025-03-20 11:55:36.826527,lunges
2025-03-20 11:55:38.960469,2025-03-20 11:55:44.788825,walking
2025-03-20 11:55:47.758518,2025-03-20 11:55:48.560827,jumping_jack
2025-03-20 11:55:49.624836,2025-03-20 11:55:50.343639,jumping_jack
2025-03-20 11:55:51.477208,2025-03-20 11:55:52.342314,jumping_jack
2025-03-20 11:55:53.623494,2025-03-20 11:55:54.486016,jumping_jack
2025-03-20 11:55:55.661814,2025-03-20 11:55:56.669864,jumping_jack
2025-03-20 11:56:01.491055,2025-03-20 11:56:03.284873,squat
2025-03-20 11:56:04.652002,2025-03-20 11:56:05.755266,squat
2025-03-20 11:56:06.896862,2025-03-20 11:56:08.757370,squat
2025-03-20 11:56:09.767717,2025-03-20 11:56:11.356867,squat
2025-03-20 11:56:12.433904,2025-03-20 11:56:14.030629,squat
2025-03-20 11:56:14.962721,2025-03-20 11:56:16.417814,squat
2025-03-20 11:56:18.725473,2025-03-20 11:56:25.672845,walking
2025-03-20 11:56:34.219997,2025-03-20 11:56:34.987058,jumping_jack
2025-03-20 11:56:35.790714,2025-03-20 11:56:36.805531,jumping_jack
2025-03-20 11:56:37.619907,2025-03-20 11:56:38.525003,jumping_jack
2025-03-20 11:56:39.368133,2025-03-20 11:56:40.282981,jumping_jack
2025-03-20 11:56:40.974020,2025-03-20 11:56:41.959165,jumping_jack
2025-03-20 11:56:42.770607,2025-03-20 11:56:43.573107,jumping_jack
2025-03-20 11:56:44.279014,2025-03-20 11:56:45.228324,jumping_jack
2025-03-20 11:56:45.900441,2025-03-20 11:56:46.503200,jumping_jack
2025-03-20 11:56:47.284666,2025-03-20 11:56:48.055583,jumping_jack
2025-03-20 11:56:48.694235,2025-03-20 11:56:49.125367,jumping_jack
2025-03-20 11:56:49.653897,2025-03-20 11:56:50.262943,jumping_jack
2025-03-20 11:56:50.789263,2025-03-20 11:56:51.461291,jumping_jack
2025-03-20 11:56:56.560980,2025-03-20 11:56:58.068874,squat
2025-03-20 11:56:58.938159,2025-03-20 11:57:00.829510,squat
2025-03-20 11:57:01.928688,2025-03-20 11:57:03.394905,squat
2025-03-20 11:57:04.567946,2025-03-20 11:57:05.782552,squat
2025-03-20 11:57:07.356801,2025-03-20 11:57:08.296899,squat
2025-03-20 11:57:09.228036,2025-03-20 11:57:10.566771,squat
2025-03-20 11:57:11.520442,2025-03-20 11:57:13.079921,squat
2025-03-20 11:57:13.897059,2025-03-20 11:57:15.452839,squat
2025-03-20 11:57:16.496309,2025-03-20 11:57:17.939068,squat
2025-03-20 11:57:20.461282,2025-03-20 11:57:29.504624,walking
2025-03-20 11:57:31.745190,2025-03-20 11:57:33.943149,lunges
2025-03-20 11:57:35.338750,2025-03-20 11:57:37.231693,lunges
2025-03-20 11:57:39.349910,2025-03-20 11:57:41.421889,lunges
2025-03-20 11:57:42.844577,2025-03-20 11:57:44.613713,lunges
2025-03-20 11:57:48.291131,2025-03-20 11:57:52.482886,walking
2025-03-20 11:57:56.306852,2025-03-20 11:57:57.344572,jumping_jack
2025-03-20 11:57:58.012643,2025-03-20 11:57:58.697741,jumping_jack
2025-03-20 11:57:59.405001,2025-03-20 11:58:00.015110,jumping_jack
2025-03-20 11:58:00.605752,2025-03-20 11:58:01.252137,jumping_jack
2025-03-20 11:58:01.869775,2025-03-20 11:58:02.510624,jumping_jack
2025-03-20 11:58:48.023194,2025-03-20 11:58:49.900901,squat
2025-03-20 11:58:50.978484,2025-03-20 11:58:52.181436,squat
2025-03-20 11:58:53.410906,2025-03-20 11:58:55.343860,squat
2025-03-20 11:58:56.250617,2025-03-20 11:58:58.167361,squat
2025-03-20 11:58:59.013514,2025-03-20 11:59:00.885124,squat
2025-03-20 11:59:01.709142,2025-03-20 11:59:03.305784,squat
2025-03-20 11:59:04.300160,2025-03-20 11:59:06.015975,squat
2025-03-20 11:59:06.930346,2025-03-20 11:59:08.663247,squat
2025-03-20 11:59:11.562773,2025-03-20 11:59:16.148561,walking
2025-03-20 11:59:19.274922,2025-03-20 11:59:20.273175,jumping_jack
2025-03-20 11:59:20.878733,2025-03-20 11:59:21.423192,jumping_jack
2025-03-20 11:59:22.001710,2025-03-20 11:59:22.679514,jumping_jack
2025-03-20 11:59:23.363720,2025-03-20 11:59:24.129297,jumping_jack
2025-03-20 11:59:29.393348,2025-03-20 11:59:31.819895,lunges
2025-03-20 11:59:33.166947,2025-03-20 11:59:35.702928,lunges
2025-03-20 11:59:37.236874,2025-03-20 11:59:38.464508,lunges
2025-03-20 11:59:40.024668,2025-03-20 11:59:42.240307,lunges
2025-03-20 11:59:44.951960,2025-03-20 11:59:47.085969,walking
2025-03-20 11:59:54.545733,2025-03-20 11:59:56.008581,squat
2025-03-20 11:59:56.987712,2025-03-20 11:59:59.247493,squat
2025-03-20 12:00:00.122076,2025-03-20 12:00:02.248359,squat
2025-03-20 12:00:03.484946,2025-03-20 12:00:05.121091,squat
2025-03-20 12:00:08.302169,2025-03-20 12:00:09.071115,jumping_jack
2025-03-20 12:00:09.714536,2025-03-20 12:00:10.372044,jumping_jack
2025-03-20 12:00:11.119772,2025-03-20 12:00:11.939262,jumping_jack
